EAN,SKU,Produkt,Variant,Storlek,Centra Antal,Centra COG (SEK),Centra Enhetskostnad,ES Antal,ES FIFO-värde (SEK),ES Snittkostnad,ES Källa,Antal Diff,Värde Diff (SEK),Värde Diff %,Möjlig Orsak
7340119386941,VA0289,"M Koltjärn Baselayer Top","Ink Blue",M,66,10560,160,66,11444.4,173.4,delivery,0,884.4,8.37,"Frakt/tull ingår troligen i ES"
7340119390207,VA0287,"W Koltjärn Baselayer Top","Ink Blue",L,65,9880,152,65,10732.15,165.11,delivery,0,852.15,8.62,"Frakt/tull ingår troligen i ES"
7340119372159,AW12-W,"W Fårö Wool Jersey","Dark Emerald Green",S,20,7800,390,20,6955.4,347.77,delivery,0,-844.6,-10.83,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119390184,VA0287,"W Koltjärn Baselayer Top","Ink Blue",S,64,9728,152,64,10567.04,165.11,delivery,0,839.04,8.63,"Frakt/tull ingår troligen i ES"
7340119361603,AW213,"U Vargön Wool Tube","Dark Chocolate Brown",One size,61,6850.3,112.3,61,7682.34,125.94,delivery,0,832.04,12.15,"Frakt/tull ingår troligen i ES"
7340119380871,AW12-W,"W Fårö Wool Jersey","Sand",S,34,12580,370,34,11757.54,345.81,delivery,0,-822.46,-6.54,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119370384,AW127-W,"W Kalix Winter Parka","Carbon Black",M,22,16100,731.82,22,15292.42,695.11,delivery,0,-807.58,-5.02,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119313022,AW12-W,"W Fårö Wool Jersey","Off White",L,90,33300,370,90,32513.22,361.26,delivery,0,-786.78,-2.36,"Enhetskostnad: -2.4%"
7340119364451,SP999-W,"W Åhus Long Arm Active Tee","Ocean Blue",XL,21,4750.2,226.2,21,5524.26,263.06,delivery,0,774.06,16.3,"Frakt/tull ingår troligen i ES"
7340119389966,VA0259,"M Tvärå Down Jacket","Ivy Green",M,40,42000,1050,40,42771.2,1069.28,delivery,0,771.2,1.84,"Enhetskostnad: +1.8%"
7340119372180,AW12-W,"W Fårö Wool Jersey","Dark Emerald Green",XL,18,7020,390,18,6259.86,347.77,delivery,0,-760.14,-10.83,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119388846,VA0288,"W Koltjärn Baselayer Pant","Ink Blue",S,62,8060,130,62,8812.06,142.13,delivery,0,752.06,9.33,"Frakt/tull ingår troligen i ES"
7340119388860,VA0288,"W Koltjärn Baselayer Pant","Ink Blue",L,62,8060,130,62,8812.06,142.13,delivery,0,752.06,9.33,"Frakt/tull ingår troligen i ES"
7340119371633,AW166-M,"M Vargön Fat Wool Jacket","Granite Grey",M,12,6236.4,519.7,12,6967.92,580.66,delivery,0,731.52,11.73,"Frakt/tull ingår troligen i ES"
7340119387757,VA0258,"W Tvärå Down Jacket","Arctic Blue",S,20,21000,1050,20,20270.6,1013.53,delivery,0,-729.4,-3.47,"Enhetskostnad: -3.5%"
7340119370377,AW127-W,"W Kalix Winter Parka","Carbon Black",S,26,18800,723.08,26,18072.86,695.11,delivery,0,-727.14,-3.87,"Enhetskostnad: -3.9%"
7340119371541,AW166-W,"W Vargön Fat Wool Jacket","Off White",XL,13,6590,506.92,13,7313.56,562.58,delivery,0,723.56,10.98,"Frakt/tull ingår troligen i ES"
7340119387658,VA0259,"M Tvärå Down Jacket","Arctic Blue",L,35,36750,1050,35,37424.8,1069.28,delivery,0,674.8,1.84,"Enhetskostnad: +1.8%"
7340119370391,AW127-W,"W Kalix Winter Parka","Carbon Black",L,31,22200,716.13,31,21548.41,695.11,delivery,0,-651.59,-2.94,"Enhetskostnad: -2.9%"
7340119372173,AW12-W,"W Fårö Wool Jersey","Dark Emerald Green",L,15,5850,390,15,5216.55,347.77,delivery,0,-633.45,-10.83,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119341018,SP21-71-W,"W Fårö Wool Skirt","Off White",XS,10,3500,350,10,2874.7,287.47,delivery,0,-625.3,-17.87,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119373460,AW625-W,"W Vargön Fat Wool Vest","Black Granite",S,26,11700,450,26,12297.74,472.99,delivery,0,597.74,5.11,"Frakt/tull ingår troligen i ES"
7340119313015,AW12-W,"W Fårö Wool Jersey","Off White",M,122,45140,370,122,44544.64,365.12,delivery,0,-595.36,-1.32,"Enhetskostnad: -1.3%"
7340119371961,AW459-W,"W Duved Wool Anorak","Rust Orange",M,31,17205,555,31,16610.42,535.82,delivery,0,-594.58,-3.46,"Enhetskostnad: -3.5%"
7340119373484,AW625-W,"W Vargön Fat Wool Vest","Black Granite",L,23,10350,450,23,10878.77,472.99,delivery,0,528.77,5.11,"Frakt/tull ingår troligen i ES"
7340119387641,VA0259,"M Tvärå Down Jacket","Arctic Blue",M,27,28350,1050,27,28870.56,1069.28,delivery,0,520.56,1.84,"Enhetskostnad: +1.8%"
7340119313039,AW12-W,"W Fårö Wool Jersey","Off White",XL,50,18500,370,50,17985.66,359.71,delivery,0,-514.34,-2.78,"Enhetskostnad: -2.8%"
7340119390214,VA0287,"W Koltjärn Baselayer Top","Ink Blue",XL,38,5776,152,38,6274.18,165.11,delivery,0,498.18,8.63,"Frakt/tull ingår troligen i ES"
7340119386965,VA0289,"M Koltjärn Baselayer Top","Ink Blue",XL,36,5760,160,36,6242.4,173.4,delivery,0,482.4,8.37,"Frakt/tull ingår troligen i ES"
7340119353844,SP50-W,"W Österlen Outdoor Tights","Graphite Black",L,25,3802.5,152.1,25,3320.25,132.81,delivery,0,-482.25,-12.68,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119370193,AW200-U,"U Sarek Long Down Hood Anorak","Dark Emerald Green",M,29,29261,1009,29,28781.05,992.45,delivery,0,-479.95,-1.64,"Enhetskostnad: -1.6%"
7340119373606,AW101-W,"W Blanktjärn Merino Wool Jersey","Dark Emerald Green",L,61,15390.6,252.3,61,14915.57,244.52,delivery,0,-475.03,-3.09,"Enhetskostnad: -3.1%"
7340119353776,SP194-M,"M Haväng Corduroy Shirt","Ocean Blue",S,17,6800,400,17,6328.25,372.25,delivery,0,-471.75,-6.94,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119379226,VA0241,"W Dyrön Active Shorts","Oyster White",M,38,11552,304,38,11081.94,291.63,delivery,0,-470.06,-4.07,"Enhetskostnad: -4.1%"
7340119357705,SP23-M,"M Andenäs Insulation Jacket","Magnet Grey",L,4,3268,817,4,2803.24,700.81,delivery,0,-464.76,-14.22,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119388877,VA0288,"W Koltjärn Baselayer Pant","Ink Blue",XL,38,4940,130,38,5400.94,142.13,delivery,0,460.94,9.33,"Frakt/tull ingår troligen i ES"
7340119386934,VA0289,"M Koltjärn Baselayer Top","Ink Blue",S,33,5280,160,33,5722.2,173.4,delivery,0,442.2,8.37,"Frakt/tull ingår troligen i ES"
7340119379219,VA0241,"W Dyrön Active Shorts","Oyster White",S,35,10640,304,35,10207.05,291.63,delivery,0,-432.95,-4.07,"Enhetskostnad: -4.1%"
7340119353912,SP550-W,"W Åhus Biker Shorts","Graphite Black",S,34,3910,115,34,3484.32,102.48,delivery,0,-425.68,-10.89,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119388556,VA0296,"W Mattmar Baselayer Top","Mesa Rose",M,42,12852,306,42,12431.58,295.99,delivery,0,-420.42,-3.27,"Enhetskostnad: -3.3%"
7340119388617,VA0296,"W Mattmar Baselayer Top","Ink Blue",M,37,11359,307,37,10951.63,295.99,delivery,0,-407.37,-3.59,"Enhetskostnad: -3.6%"
7340119389935,VA0258,"W Tvärå Down Jacket","Ivy Green",XL,11,11550,1050,11,11148.83,1013.53,delivery,0,-401.17,-3.47,"Enhetskostnad: -3.5%"
7340119379233,VA0241,"W Dyrön Active Shorts","Oyster White",L,32,9728,304,32,9332.16,291.63,delivery,0,-395.84,-4.07,"Enhetskostnad: -4.1%"
7340119386859,VA0290,"M Koltjärn Baselayer Pant","Ink Blue",L,81,12393,153,81,12786.66,157.86,delivery,0,393.66,3.18,"Enhetskostnad: +3.2%"
7340119371503,AW166-W,"W Vargön Fat Wool Jacket","Off White",XS,5,2350,470,5,2731.4,546.28,delivery,0,381.4,16.23,"Frakt/tull ingår troligen i ES"
7340119370001,SP96-M,"M Vaxholm Shorts","Navy Blue",XL,39,12480,320,39,12860.09,329.75,delivery,0,380.09,3.05,"Enhetskostnad: +3.0%"
7340119386903,VA0289,"M Koltjärn Baselayer Top","Thyme Green",L,28,4480,160,28,4855.2,173.4,delivery,0,375.2,8.37,"Frakt/tull ingår troligen i ES"
7340119379165,VA0241,"W Dyrön Active Shorts","Lava Black",S,30,9120,304,30,8748.9,291.63,delivery,0,-371.1,-4.07,"Enhetskostnad: -4.1%"
7340119353820,SP50-W,"W Österlen Outdoor Tights","Graphite Black",S,19,2889.9,152.1,19,2523.39,132.81,delivery,0,-366.51,-12.68,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119383001,VA0280,"M Fjällnäs Baselayer Pant","Dark Emerald Green",L,47,12205.9,259.7,47,11845.02,252.02,delivery,0,-360.88,-2.96,"Enhetskostnad: -3.0%"
7340119388495,VA0297,"W Mattmar Baselayer Pant","Ink Blue",M,38,10450,275,38,10089.76,265.52,delivery,0,-360.24,-3.45,"Enhetskostnad: -3.4%"
7340119373590,AW101-W,"W Blanktjärn Merino Wool Jersey","Dark Emerald Green",M,42,10626,253,42,10271.1,244.55,delivery,0,-354.9,-3.34,"Enhetskostnad: -3.3%"
7340119357484,SP23-W,"W Andenäs Insulation Jacket","Magnet Grey",XS,5,3800,760,5,3448.65,689.73,delivery,0,-351.35,-9.25,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119388433,VA0297,"W Mattmar Baselayer Pant","Mesa Rose",M,37,10175,275,37,9826.73,265.59,delivery,0,-348.27,-3.42,"Enhetskostnad: -3.4%"
7340119313008,AW12-W,"W Fårö Wool Jersey","Off White",S,71,26270,370,71,25923.52,365.12,delivery,0,-346.48,-1.32,"Enhetskostnad: -1.3%"
7340119379172,VA0241,"W Dyrön Active Shorts","Lava Black",M,28,8512,304,28,8165.64,291.63,delivery,0,-346.36,-4.07,"Enhetskostnad: -4.1%"
7340119371978,AW459-W,"W Duved Wool Anorak","Rust Orange",L,18,9990,555,18,9644.76,535.82,delivery,0,-345.24,-3.46,"Enhetskostnad: -3.5%"
7340119388624,VA0296,"W Mattmar Baselayer Top","Ink Blue",L,32,9824,307,32,9479.93,296.25,delivery,0,-344.07,-3.5,"Enhetskostnad: -3.5%"
7340119372197,AW12-W,"W Fårö Wool Jersey","Dark Emerald Green",XXL,8,3120,390,8,2782.16,347.77,delivery,0,-337.84,-10.83,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119362334,SP775-W,"W Styrsö Wool Zip Jersey","Navy Blue",XS,15,6150,410,15,6475.8,431.72,delivery,0,325.8,5.3,"Frakt/tull ingår troligen i ES"
