Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,XXL,07,7340119384053,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,XS,02,7340119383919,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,S,03,7340119383926,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,M,04,7340119383933,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,L,05,7340119383940,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,XL,06,7340119383957,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Oyester White,007,0.00,XXL,07,7340119383964,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Mermaid Green,002,0.00,XS,02,7340119382288,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Mermaid Green,002,0.00,S,03,7340119382295,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Mermaid Green,002,0.00,M,04,7340119382301,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Mermaid Green,002,0.00,L,05,7340119382318,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Mermaid Green,002,0.00,XL,06,7340119382325,,0,#DIV/0!,
VARG,SP996-W,SS24,W Visby Pant,Sand Shell,-S,852.00,XS,-2,7340119364543,,2,426,
VARG,SP996-W,SS24,W Visby Pant,Sand Shell,-S,5538.00,S,-3,7340119364550,,13,426,
VARG,SP996-W,SS24,W Visby Pant,Sand Shell,-S,9798.00,M,-4,7340119364567,,23,426,
VARG,SP996-W,SS24,W Visby Pant,Sand Shell,-S,8520.00,L,-5,7340119364574,,20,426,
VARG,SP996-W,SS24,W Visby Pant,Sand Shell,-S,3408.00,XL,-6,7340119364581,,8,426,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,760.50,XS,-2,7340119353813,,5,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,2889.90,S,-3,7340119353820,,19,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,1977.30,M,-4,7340119353837,,13,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,3802.50,L,-5,7340119353844,,25,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,1673.10,XL,-6,7340119353851,,11,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Graphite Black,-GP,1368.90,XXL,-7,7340119370087,,9,152.1,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Stone Khaki,-SK,0.00,XS,-2,7340119353868,,0,#DIV/0!,
